method,n_points,dofs,n_samples,mat_shape,min_eig,neg_count,near_zero_count,symmetry_rel_err,symmetry_ok,symmetry_frob_diff,error
simpson,128,64,128,50,1.6544029859992662e-05,0,0,0.0004285779741786006,False,0.00022074090063412005,
simpson,128,64,256,50,1.654402985999557e-05,0,0,0.00042857797417860034,False,0.0002207409006341199,
simpson,128,64,512,50,1.6544029859994193e-05,0,0,0.0004285779741786004,False,0.00022074090063411994,
simpson,128,64,1024,50,1.6544029859992123e-05,0,0,0.0004285779741786036,False,0.00022074090063412154,
simpson,128,128,32,50,1.6544029859992662e-05,0,0,0.0004285779741786006,False,0.00022074090063412005,
simpson,128,128,64,50,1.6544029859992662e-05,0,0,0.0004285779741786006,False,0.00022074090063412005,
simpson,128,128,128,50,1.6544029859992662e-05,0,0,0.0004285779741786006,False,0.00022074090063412005,
simpson,128,128,256,50,1.654402985999557e-05,0,0,0.00042857797417860034,False,0.0002207409006341199,
simpson,128,128,512,50,1.6544029859994193e-05,0,0,0.0004285779741786004,False,0.00022074090063411994,
simpson,128,128,1024,50,1.6544029859992123e-05,0,0,0.0004285779741786036,False,0.00022074090063412154,
trapz,128,32,32,50,-0.00010338378568876857,17,1,0.002620161657671488,False,0.0013495275411654914,
trapz,128,32,64,50,-1.3462086037084052e-17,0,18,2.0839983545759473e-15,True,1.0733720723022745e-15,
trapz,128,32,128,50,-9.160662726757428e-18,0,18,2.0882437807407963e-15,True,1.0755586968120128e-15,
trapz,128,32,256,50,-1.835744313173737e-17,0,18,2.084088454407321e-15,True,1.0734184785974154e-15,
trapz,128,32,512,50,-1.0574254971457434e-17,0,18,2.0880810790373298e-15,True,1.0754748966188727e-15,
trapz,128,32,1024,50,-3.4220546168060113e-18,0,18,2.09791104373256e-15,True,1.0805378610652744e-15,
trapz,128,64,32,50,1.64967369272308e-05,0,0,2.083867603080435e-15,True,1.0733047702872028e-15,
trapz,128,64,64,50,1.64967369272308e-05,0,0,2.083867603080435e-15,True,1.0733047702872028e-15,
trapz,128,64,128,50,1.64967369272306e-05,0,0,2.088113517834179e-15,True,1.0754916465324544e-15,
trapz,128,64,256,50,1.649673692723061e-05,0,0,2.0839582741822577e-15,True,1.07335147081941e-15,
trapz,128,64,512,50,1.6496736927230314e-05,0,0,2.087950363491134e-15,True,1.0754076132021104e-15,
trapz,128,64,1024,50,1.649673692723063e-05,0,0,2.097780986070238e-15,True,1.0804709166929117e-15,
trapz,128,128,32,50,1.64967369272306e-05,0,0,2.088113517834179e-15,True,1.0754916465324544e-15,
trapz,128,128,64,50,1.64967369272306e-05,0,0,2.088113517834179e-15,True,1.0754916465324544e-15,
trapz,128,128,128,50,1.64967369272306e-05,0,0,2.088113517834179e-15,True,1.0754916465324544e-15,
trapz,128,128,256,50,1.649673692723061e-05,0,0,2.0839582741822577e-15,True,1.07335147081941e-15,
trapz,128,128,512,50,1.6496736927230314e-05,0,0,2.087950363491134e-15,True,1.0754076132021104e-15,
trapz,128,128,1024,50,1.649673692723063e-05,0,0,2.097780986070238e-15,True,1.0804709166929117e-15,
simpson,256,32,32,50,-0.00010339897333699775,17,1,0.002620397455253346,False,0.0013496489906033263,
simpson,256,32,64,50,-1.5612201095199383e-10,1,17,1.6598596155438657e-05,False,8.54917640516413e-06,
simpson,256,32,128,50,-1.561220124059187e-10,1,17,1.6598596155440978e-05,False,8.549176405165326e-06,
simpson,256,32,256,50,-1.5612201376401324e-10,1,17,1.6598596155439446e-05,False,8.549176405164536e-06,
simpson,256,32,512,50,-1.5612201221575054e-10,1,17,1.659859615544077e-05,False,8.549176405165219e-06,
